0,Gebt,NN,SOS_Gebt,_,__NN,Gebt_endlich,ADV,NN_ADV,NP,False,False,False,NP_ROOT,NP_ROOT,False
1,endlich,ADV,Gebt_endlich,NN,NN_ADV,endlich_Gummi,NN,ADV_NN,NP,NN,$.,False,NP_NP_ROOT,NP_ROOT,False
2,Gummi,NN,endlich_Gummi,ADV,ADV_NN,Gummi_!,$.,NN_$.,NP,NN,$.,False,NP_NP_ROOT,NP_ROOT,False
3,!,$.,Gummi_!,NN,NN_$.,!_EOS,_,$.__,NP,False,False,False,NP_ROOT,NP_ROOT,False
4,Eine,ART,SOS_Eine,_,__ART,Eine_Kunststoffbahn,NN,ART_NN,NP,False,VAFIN,False,NP_S_ROOT,NP_S_ROOT,False
5,Kunststoffbahn,NN,Eine_Kunststoffbahn,ART,ART_NN,Kunststoffbahn_am,APPRART,NN_APPRART,NP,False,VAFIN,False,NP_S_ROOT,NP_S_ROOT,False
6,am,APPRART,Kunststoffbahn_am,NN,NN_APPRART,am_Schwedendamm,NN,APPRART_NN,PP,NN,False,False,PP_NP_S_ROOT,PP_NP_S_ROOT,False
7,Schwedendamm,NN,am_Schwedendamm,APPRART,APPRART_NN,Schwedendamm_würde,VAFIN,NN_VAFIN,PP,NN,False,False,PP_NP_S_ROOT,PP_NP_S_ROOT,False
8,würde,VAFIN,Schwedendamm_würde,NN,NN_VAFIN,würde_eine,ART,VAFIN_ART,S,False,False,False,S_ROOT,S_ROOT,False
9,eine,ART,würde_eine,VAFIN,VAFIN_ART,eine_Million,NN,ART_NN,NP,VAFIN,VP,True,NP_S_ROOT,NP_S_ROOT,False
10,Million,NN,eine_Million,ART,ART_NN,Million_Mark,NN,NN_NN,NP,VAFIN,VP,True,NP_S_ROOT,NP_S_ROOT,False
11,Mark,NN,Million_Mark,NN,NN_NN,Mark_kosten,VVINF,NN_VVINF,VP,NP,$.,False,VP_S_ROOT,VP_S_ROOT,False
